scenario,block_size,constant_c,iou,precision,recall,f1
high_noise,31,-15.00,0.266572,0.395324,0.450094,0.420935
high_noise,31,-10.00,0.276380,0.377400,0.508003,0.433069
high_noise,31,-5.00,0.285064,0.364334,0.567133,0.443657
high_noise,31,0.00,0.290918,0.352476,0.624875,0.450716
high_noise,31,5.00,0.294126,0.340790,0.682339,0.454556
high_noise,63,-15.00,0.366616,0.495897,0.584417,0.536531
high_noise,63,-10.00,0.368066,0.466267,0.636045,0.538082
high_noise,63,-5.00,0.367066,0.441122,0.686173,0.537013
high_noise,63,0.00,0.362592,0.417762,0.733022,0.532209
high_noise,63,5.00,0.356054,0.396469,0.777426,0.525132
high_noise,95,-15.00,0.463872,0.578245,0.701067,0.633760
high_noise,95,-10.00,0.456611,0.541150,0.745082,0.626949
high_noise,95,-5.00,0.447248,0.508802,0.787096,0.618067
high_noise,95,0.00,0.434043,0.478283,0.824330,0.605342
high_noise,95,5.00,0.417838,0.449136,0.857063,0.589402
high_noise,127,-15.00,0.554055,0.642930,0.800322,0.713044
high_noise,127,-10.00,0.539396,0.602908,0.836612,0.700789
high_noise,127,-5.00,0.519576,0.564123,0.868067,0.683843
high_noise,127,0.00,0.496978,0.527529,0.895632,0.663975
high_noise,127,5.00,0.472396,0.493136,0.918251,0.641670
high_noise,159,-15.00,0.628462,0.690338,0.875181,0.771847
high_noise,159,-10.00,0.604169,0.646602,0.902023,0.753249
high_noise,159,-5.00,0.577039,0.605301,0.925142,0.731801
high_noise,159,0.00,0.545592,0.564305,0.942703,0.705997
high_noise,159,5.00,0.514263,0.526179,0.957819,0.679225
high_noise,191,-15.00,0.683651,0.723107,0.926086,0.812106
high_noise,191,-10.00,0.652296,0.678419,0.944259,0.789563
high_noise,191,-5.00,0.616958,0.633775,0.958764,0.763110
high_noise,191,0.00,0.580538,0.590991,0.970435,0.734608
high_noise,191,5.00,0.542906,0.549463,0.978493,0.703745
